Nomination Number,URL,Congress,Name,Organization,Description,Role,District/Location,Date Received From President,Committee,Latest Action Date,Latest Action,Vote Margin,Record Vote Number,,Length of Confirmation Proceedings,President,Majority,Deliniation,In Favor,Against,Margin
PN2293,https://www.congress.gov/nomination/116th-congress/2293,116th Congress (2019-2020),Stephen Andrew Kubiatowski,The Judiciary,"Stephen Andrew Kubiatowski, of Kentucky, ", a Judge of the United States Court of Federal Claims for a term of fifteen years,,10/23/2020,Judiciary,10/26/2020,Received message of withdrawal of nomination from the President,,,,3,4. Trump,Republican,,,,
PN2252,https://www.congress.gov/nomination/116th-congress/2252,116th Congress (2019-2020),Amy Coney Barrett,Supreme Court of the United States,"Amy Coney Barrett, of Indiana, ", an Associate Justice of the Supreme Court of the United States,,9/29/2020,Judiciary,10/26/2020,Confirmed by the Senate by Yea-Nay Vote, 52 - 48, Record Vote Number: 224,,27,4. Trump,Republican,,52,48,4
PN1922,https://www.congress.gov/nomination/116th-congress/1922,116th Congress (2019-2020),Roderick C. Young,The Judiciary,"Roderick C. Young, of Virginia, ", United States District Judge , Eastern District of Virginia,5/21/2020,Judiciary,9/24/2020,Confirmed by the Senate by Yea-Nay Vote, 93 - 2, Record Vote Number: 194,,126,4. Trump,Republican,,93,2,91
PN1749,https://www.congress.gov/nomination/116th-congress/1749,116th Congress (2019-2020),Cory T. Wilson,The Judiciary,"Cory T. Wilson, of Mississippi, ", United States Circuit Judge , Fifth Circuit,5/4/2020,Judiciary,6/24/2020,Confirmed by the Senate by Yea-Nay Vote, 52 - 48, Record Vote Number: 125,,51,4. Trump,Republican,,52,48,4
PN1748,https://www.congress.gov/nomination/116th-congress/1748,116th Congress (2019-2020),Justin Reed Walker,The Judiciary,"Justin Reed Walker, of Kentucky, ", United States Circuit Judge , District of Columbia Circuit,5/4/2020,Judiciary,6/18/2020,Confirmed by the Senate by Yea-Nay Vote, 51 - 42, Record Vote Number: 123,,45,4. Trump,Republican,,51,42,9
PN1713,https://www.congress.gov/nomination/116th-congress/1713,116th Congress (2019-2020),Hala Y. Jarbou,The Judiciary,"Hala Y. Jarbou, of Michigan, ", United States District Judge , Western District of Michigan,3/18/2020,Judiciary,9/10/2020,Confirmed by the Senate by Yea-Nay Vote, 83 - 15, Record Vote Number: 165,,176,4. Trump,Republican,,83,15,68
PN1663,https://www.congress.gov/nomination/116th-congress/1663,116th Congress (2019-2020),Michael Jay Newman,The Judiciary,"Michael Jay Newman, of Ohio, ", United States District Judge , Southern District of Ohio,3/3/2020,Judiciary,10/22/2020,Confirmed by the Senate by Yea-Nay Vote, 67 - 30, Record Vote Number: 213,,233,4. Trump,Republican,,67,30,37
PN1662,https://www.congress.gov/nomination/116th-congress/1662,116th Congress (2019-2020),Brett H. Ludwig,The Judiciary,"Brett H. Ludwig, of Wisconsin, ", United States District Judge , Eastern District of Wisconsin,3/3/2020,Judiciary,9/9/2020,Confirmed by the Senate by Yea-Nay Vote, 91 - 5, Record Vote Number: 159,,190,4. Trump,Republican,,91,5,86
PN1599,https://www.congress.gov/nomination/116th-congress/1599,116th Congress (2019-2020),John Peter Cronan,The Judiciary,"John Peter Cronan, of New York, ", United States District Judge , Southern District of New York,2/27/2020,Judiciary,8/6/2020,Confirmed by the Senate by Yea-Nay Vote, 55 - 42, Record Vote Number: 157,,161,4. Trump,Republican,,55,42,13
PN1538,https://www.congress.gov/nomination/116th-congress/1538,116th Congress (2019-2020),Todd Wallace Robinson,The Judiciary,"Todd Wallace Robinson, of California, ", United States District Judge , Southern District of California,2/13/2020,Judiciary,9/16/2020,Confirmed by the Senate by Yea-Nay Vote, 86 - 10, Record Vote Number: 176,,216,4. Trump,Republican,,86,10,76
PN1531,https://www.congress.gov/nomination/116th-congress/1531,116th Congress (2019-2020),John W. Holcomb,The Judiciary,"John W. Holcomb, of California, ", United States District Judge , Central District of California,2/13/2020,Judiciary,9/15/2020,Confirmed by the Senate by Yea-Nay Vote, 83 - 12, Record Vote Number: 175,,215,4. Trump,Republican,,83,12,71
PN1511,https://www.congress.gov/nomination/116th-congress/1511,116th Congress (2019-2020),Christy Criswell Wiegand,The Judiciary,"Christy Criswell Wiegand, of Pennsylvania, ", United States District Judge , Western District of Pennsylvania,2/12/2020,Judiciary,9/9/2020,Confirmed by the Senate by Yea-Nay Vote, 82 - 14, Record Vote Number: 162,,210,4. Trump,Republican,,82,14,68
PN1510,https://www.congress.gov/nomination/116th-congress/1510,116th Congress (2019-2020),Franklin Ulyses Valderrama,The Judiciary,"Franklin Ulyses Valderrama, of Illinois, ", United States District Judge , Northern District of Illinois,2/12/2020,Judiciary,9/17/2020,Confirmed by the Senate by Yea-Nay Vote, 68 - 26, Record Vote Number: 182,,218,4. Trump,Republican,,68,26,42
